numero_de_proyecto,clave_de_programa,Fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,Pagado
871,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,25,AYAHUALULCO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE AYAHUALULCO ,   EN EL ESTADO DE VERACRUZ",4000000,0
872,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,9,COMONFORT,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE COMONFORT ,   EN EL ESTADO DE GUANAJUATO",5000000,0
873,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,11,CORTAZAR,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE CORTAZAR ,   EN EL ESTADO DE GUANAJUATO",6000000,0
874,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,48,COSOLEACAQUE,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE COSOLEACAQUE ,   EN EL ESTADO DE VERACRUZ",15071857,0
875,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL ,   EN EL ESTADO DE GUANAJUATO",3000000,0
876,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,83,IXHUATLÁN DE MADERO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE IXHUATLÁN DE MADERO ,   EN EL ESTADO DE VERACRUZ",7000000,0
877,U128,PROYECTOS DE DESARROLLO REGIONAL,24,SAN LUIS POTOSÍ,21,MEXQUITIC DE CARMONA,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE MEXQUITIC DE CARMONA ,   EN EL ESTADO DE SAN LUIS POTOSÍ",15700000,0
878,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,23,PUEBLO NUEVO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE PUEBLO NUEVO ,   EN EL ESTADO DE DURANGO",14000000,0
879,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,27,SALAMANCA,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SALAMANCA ,   EN EL ESTADO DE GUANAJUATO",4600000,0
880,U128,PROYECTOS DE DESARROLLO REGIONAL,24,SAN LUIS POTOSÍ,26,SAN ANTONIO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SAN ANTONIO ,   EN EL ESTADO DE SAN LUIS POTOSÍ",5000000,0
881,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,30,SAN FELIPE,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SAN FELIPE ,   EN EL ESTADO DE GUANAJUATO",3000000,0
882,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,32,SAN JOSÉ ITURBIDE,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SAN JOSÉ ITURBIDE ,   EN EL ESTADO DE GUANAJUATO",600000,0
883,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,29,SAN LUIS DEL CORDERO,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SAN LUIS DEL CORDERO ,   EN EL ESTADO DE DURANGO",2000000,0
884,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE SAN MIGUEL DE ALLENDE ,   EN EL ESTADO DE GUANAJUATO",13000000,0
885,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,34,TAMAZULA,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE TAMAZULA ,   EN EL ESTADO DE DURANGO",2000000,0
886,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,35,TEPEHUANES,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE TEPEHUANES ,   EN EL ESTADO DE DURANGO",2100000,0
887,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,202,ZONTECOMATLÁN DE LÓPEZ Y FUENTES,"INFRAESTRUCTURA SOCIAL ,   EN EL MUNICIPIO DE ZONTECOMATLÁN DE LÓPEZ Y FUENTES ,   EN EL ESTADO DE VERACRUZ",4000000,0
888,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,23,GALEANA,"INFRAESTRUCTURA SOCIAL ,   LOCALIDAD DE LAGUNITAS (TELESECUNDARIA REBECA SABATA) ,   EN EL MUNICIPIO DE GALEANA ,   EN EL ESTADO DE CHIHUAHUA",1200000,0
889,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,11,EL MARQUÉS,"INFRAESTRUCTURA URBANA EN CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE EL MARQUÉS ,   EN EL ESTADO DE QUERÉTARO",3000000,0
890,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,13,CHINA,"INFRAESTRUCTURA URBANA EN EL MUNICIPIO CHINA ,   NUEVO LEÓN",2813967,0
891,U128,PROYECTOS DE DESARROLLO REGIONAL,6,COLIMA,1,ARMERÍA,"INFRAESTRUCTURA URBANA EN EL MUNICIPIO DE ARMERÍA ,   EN COLIMA",15000000,0
892,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,15,TACOTALPA,"INFRAESTRUCTURA VIAL EN CAMINO DEL EJIDO DIVISIÓN DEL NORTE (EJIDO MONTAÑA 2DA) ,   EN EL MUNICIPIO DE TACOTALPA ,   TABASCO",1200000,0
