CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,10,C01,80,112,184,2,1,4,15,0,20,1,0,0,0,0,0,1,0,0,0,0,0,9,0,429,9,438,591,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,10,C02,87,91,194,1,4,2,12,0,24,4,2,0,0,0,0,1,0,1,0,0,0,10,0,433,7,440,591,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,10,C03,59,108,190,2,3,3,15,0,23,2,0,1,1,0,0,1,0,0,0,0,0,3,0,411,10,421,590,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,11,B,64,85,112,2,4,6,6,2,30,1,1,0,0,0,0,0,0,0,0,0,0,7,0,320,8,328,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,2,APETATITLAN DE ANTONIO CARVAJAL,11,C01,82,108,98,2,2,2,1,2,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,322,4,326,413,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,B,84,85,88,1,8,0,3,0,18,2,2,0,0,0,0,0,0,0,0,0,0,11,0,302,13,315,589,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,C01,100,94,78,2,7,2,3,1,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,306,12,318,588,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,B,130,152,105,7,7,4,8,6,37,6,1,0,0,0,0,0,0,0,0,0,0,14,0,477,6,483,731,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,C01,139,127,91,6,6,6,5,12,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,441,15,456,730,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,C02,128,164,100,4,9,4,13,6,31,2,0,0,0,0,0,2,0,0,0,0,0,17,1,481,14,495,730,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,B,112,123,66,11,14,1,6,2,50,3,0,1,0,0,0,0,0,0,0,0,0,7,0,396,16,412,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,C01,95,98,88,17,10,1,7,2,48,5,0,0,0,0,0,0,0,0,0,0,0,8,0,379,10,389,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,C02,94,136,93,16,15,1,7,1,42,0,5,0,0,0,0,0,0,0,0,0,0,15,0,425,13,438,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,C03,110,108,102,17,14,1,8,0,31,1,0,1,0,0,0,1,0,0,0,0,0,4,0,398,12,410,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,C04,101,107,97,8,19,2,10,1,50,2,2,0,0,0,0,1,0,0,0,0,0,9,0,409,9,418,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,C05,106,111,88,8,12,1,4,2,49,5,0,0,0,0,0,0,0,0,0,0,0,13,0,399,0,399,693,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,B,83,61,86,5,6,1,4,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,7,296,11,307,505,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,C01,65,79,75,4,5,4,3,0,19,1,1,0,0,0,0,0,0,0,0,0,0,7,0,263,8,271,505,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,C02,63,54,85,0,1,0,6,0,22,1,0,0,0,0,0,2,0,0,0,0,0,4,0,238,10,248,505,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,B,76,137,61,4,3,1,1,1,29,0,0,0,0,0,0,2,0,2,0,0,0,4,0,321,14,335,541,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,C01,93,104,68,2,5,3,5,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,307,12,319,541,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,C02,81,96,77,0,2,2,1,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,1,281,14,295,541,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,17,B,88,163,119,3,1,2,5,0,30,4,0,0,0,0,0,0,0,0,0,0,0,6,0,421,15,436,698,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,17,C01,91,140,121,2,5,3,14,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,420,6,426,697,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,18,B,89,125,96,0,1,0,6,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,6,345,11,356,579,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,18,C01,85,111,94,4,6,0,0,1,21,0,1,0,0,0,0,0,0,0,0,0,0,9,0,332,14,346,578,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,19,B,162,77,83,1,2,1,7,0,17,1,1,0,0,0,0,0,0,0,0,0,0,8,0,360,14,374,587,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
4,29,TLAXCALA,4,APIZACO,3,APIZACO,19,C01,136,84,83,1,2,0,4,0,20,1,1,0,0,0,0,2,0,0,0,0,0,5,0,339,12,351,586,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Distrito_4.pdf
